"filename", "language", "JavaScript", "PostCSS", "XML", "Markdown", "vue", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\TrainersTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 0, 90, 186
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\organisms\Trainers.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 55, 131
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\templates\TrainersPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\ArchivedTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\Dropdown.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 20, 78
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 0, 16, 33
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\TrainingInputs.vue", "vue", 0, 0, 0, 0, 182, 0, 0, 0, 108, 290
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\atoms\TrainingsFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\TrainingInformation.vue", "vue", 0, 0, 0, 0, 141, 0, 0, 0, 84, 225
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\molecules\TrainingsTable.vue", "vue", 0, 0, 0, 0, 82, 0, 0, 0, 70, 152
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\organisms\Trainings.vue", "vue", 0, 0, 0, 0, 78, 0, 0, 0, 57, 135
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainingspage\templates\TrainingsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\i18n.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 1, 53, 263
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\router\index.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 5, 16, 72
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\style.css", "PostCSS", 0, 42, 0, 0, 0, 0, 0, 0, 39, 81
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 518, 42, 436, 3, 4625, 2261, 13, 62, 3625, 11585
